"FL_DATE","UNIQUE_CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-01-01,"AA","N153AA","1766",13930,11298,"0710","0705",-5.00,"0948","0932",-16.00,0.00,"",121.00,802.00,,,,,,
2017-01-01,"AA","N192AA","1767",12889,11298,"1235","1235",0.00,"1718","1717",-1.00,0.00,"",137.00,1055.00,,,,,,
2017-01-01,"AA","N829AA","1768",11278,13303,"1020","1015",-5.00,"1313","1253",-20.00,0.00,"",131.00,919.00,,,,,,
2017-01-01,"AA","N770AA","1769",15304,13303,"0730","0719",-11.00,"0833","0818",-15.00,0.00,"",38.00,204.00,,,,,,
2017-01-01,"AA","N754AA","1770",14100,14027,"1015","1011",-4.00,"1312","1305",-7.00,0.00,"",140.00,951.00,,,,,,
2017-01-01,"AA","N754AA","1770",14122,14100,"0705","0658",-7.00,"0832","0824",-8.00,0.00,"",48.00,268.00,,,,,,
2017-01-01,"AA","N585AA","1772",11057,11298,"0925","0925",0.00,"1122","1116",-6.00,0.00,"",141.00,936.00,,,,,,
2017-01-01,"AA","N737AA","1774",11057,11433,"2220","2229",9.00,"0006","0005",-1.00,0.00,"",71.00,500.00,,,,,,
2017-01-01,"AA","N552AA","1775",11057,11298,"1615","1611",-4.00,"1815","1830",15.00,0.00,"",144.00,936.00,0.00,0.00,15.00,0.00,0.00,
2017-01-01,"AA","N581AA","1775",11697,11057,"1305","1258",-7.00,"1504","1504",0.00,0.00,"",100.00,632.00,,,,,,
2017-01-01,"AA","N756AA","1776",11278,13303,"1732","1726",-6.00,"2034","2031",-3.00,0.00,"",131.00,919.00,,,,,,
2017-01-01,"AA","N807AA","1776",13303,11278,"1410","1517",67.00,"1642","1741",59.00,0.00,"",118.00,919.00,0.00,0.00,0.00,0.00,59.00,
2017-01-01,"AA","N755AA","1780",12339,11057,"0700","0653",-7.00,"0849","0846",-3.00,0.00,"",74.00,427.00,,,,,,
2017-01-01,"AA","N951AA","1782",11057,14492,"0939","0937",-2.00,"1035","1030",-5.00,0.00,"",33.00,130.00,,,,,,
2017-01-01,"AA","N523AA","1783",11057,10721,"2029","2149",80.00,"2238","2338",60.00,0.00,"",89.00,728.00,0.00,0.00,0.00,0.00,60.00,
2017-01-01,"AA","N155AA","1783",12892,11057,"1147","1158",11.00,"1925","1926",1.00,0.00,"",242.00,2125.00,,,,,,
2017-01-01,"AA","N753AA","1785",11057,13931,"2011","2019",8.00,"2122","2137",15.00,0.00,"",45.00,290.00,8.00,0.00,7.00,0.00,0.00,
2017-01-01,"AA","N753AA","1785",15016,11057,"1617","1616",-1.00,"1905","1907",2.00,0.00,"",81.00,575.00,,,,,,
2017-01-01,"AA","N202AA","1786",14100,13204,"1750","1746",-4.00,"2030","2029",-1.00,0.00,"",132.00,861.00,,,,,,
2017-01-01,"AA","N587AA","1787",11057,14057,"1816","1850",34.00,"2100","2126",26.00,0.00,"",305.00,2282.00,0.00,0.00,0.00,0.00,26.00,
